# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	57107
#@/user_id	f0f17d41-97b2-4dca-ad5e-3e828221d473
ceng1 	靑	c=2 d=3.03116e-17 t=57107
ceng2 	請	c=1 d=1.89906e-16 t=57107
ceng2 gaa3 	請假	c=2 d=6.72377e-37 t=57107
ceng2 gaan2 	請柬	c=2 d=1.38314e-08 t=57107
ceoi1 	催	c=8 d=8.0487e-06 t=57107
ceoi1 	吹	c=1 d=8.98918e-12 t=57107
ceoi1 cuk1 	催促	c=3 d=2.19366e-05 t=57107
ceoi2 	取	c=20 d=1.12513e-22 t=57107
ceoi2 ceot1 	取出	c=2 d=2.53693e-64 t=57107
ceoi2 kyut3 	取決	c=1 d=1.47237e-22 t=57107
ceoi2 siu1 	取消	c=7 d=0.414787 t=57107
ceoi4 	徐	c=4 d=0.985112 t=57107
ceoi4 	除	c=30 d=0.752376 t=57107
ceoi4 	隨	c=1 d=1.06086e-48 t=57107
ceoi4 bin2 	隨便	c=12 d=0.00135358 t=57107
ceoi4 fei1 	除非	c=5 d=5.39312e-89 t=57107
ceoi4 gei1 	隨機	c=2 d=9.25978e-08 t=57107
ceoi4 ji5 	除以	c=1 d=4.01472e-29 t=57107
ceoi4 si4 	隨時	c=9 d=4.77007e-32 t=57107
ceon1 	春	c=4 d=8.66791e-25 t=57107
ceon2 	蠢	c=1 d=2.6306e-26 t=57107
ceon4 waan4 	循環	c=6 d=7.65064e-31 t=57107
ceot1 	出	c=46 d=0.000119771 t=57107
ceot1 caai1 	出差	c=2 d=2.11916e-12 t=57107
ceot1 faat3 	出發	c=5 d=4.78675e-10 t=57107
ceot1 hang4 	出行	c=1 d=3.90935e-69 t=57107
ceot1 hau2 	出口	c=2 d=1.15076e-109 t=57107
ceot1 hei3 	出氣	c=1 d=9.3624e-20 t=57107
ceot1 heoi3 	出去	c=11 d=0.90759 t=57107
ceot1 jau4 	出遊	c=1 d=1.59831e-17 t=57107
ceot1 jin6 	出現	c=8 d=6.43734e-27 t=57107
ceot1 jyun2 	出院	c=1 d=1.42406e-100 t=57107
ceot1 lai4 	出嚟	c=3 d=4.1332e-77 t=57107
ceot1 loi4 	出來	c=28 d=0.00029458 t=57107
ceot1 sang1 	出生	c=1 d=7.60663e-106 t=57107
ceot1 zaam6 	出站	c=1 d=5.1777e-110 t=57107
ci2 	此	c=6 d=4.63407e-11 t=57107
ci3 	次	c=12 d=1.10848e-07 t=57107
ci3 sou3 	次數	c=1 d=1.89114e-55 t=57107
ci4 di1 	遲啲	c=2 d=1.92759e-87 t=57107
ci4 gau2 	持久	c=1 d=0.0169075 t=57107
ci4 zik1 	辭職	c=1 d=1.7705e-103 t=57107
ci4 zuk6 	持續	c=2 d=5.57291e-113 t=57107
ci5 	似	c=6 d=3.57745e-12 t=57107
cim1 	簽	c=17 d=0.00164502 t=57107
cim1 faat3 	簽發	c=3 d=3.79163e-54 t=57107
cim1 meng2 	簽名	c=4 d=1.63454e-16 t=57107
cim1 ming4 	簽名	c=1 d=1.50462e-71 t=57107
cim1 zing3 	簽證	c=2 d=5.52032e-11 t=57107
cin1 	千	c=2 d=2.87726e-51 t=57107
cin1 jat6 	千日	c=1 d=9.20301e-112 t=57107
cin1 ji4 	遷移	c=11 d=3.54269e-27 t=57107
cin1 kei4 baak3 gwaai3 	千奇百怪	c=1 d=0.299692 t=57107
cin1 lei5 	千里	c=8 d=5.48607e-26 t=57107
cin1 maan6 	千萬	c=1 d=1.53231e-109 t=57107
cin2 	錢	c=29 d=2.90281e-08 t=57107
cin2 cin2 	淺淺	c=1 d=0.657047 t=57107
cin4 	前	c=45 d=0.00195965 t=57107
cin4 baau1 	錢包	c=1 d=1.98217e-108 t=57107
cin4 dyun1 	前端	c=55 d=0.00031448 t=57107
cin4 hau6 	前後	c=1 d=5.89751e-112 t=57107
cin4 kei4 	前期	c=3 d=3.00346e-51 t=57107
cin4 min6 	前面	c=1 d=7.19244e-65 t=57107
cin4 mun2 	前門	c=7 d=5.43829e-109 t=57107
cin4 tai4 	前提	c=1 d=5.83188e-98 t=57107
cin4 tai4 	前題	c=1 d=5.80279e-98 t=57107
cin4 tin1 	前天	c=3 d=4.27802e-67 t=57107
cin4 wong5 	前往	c=2 d=3.77553e-71 t=57107
cin4 zeoi6 	前綴	c=8 d=6.73175e-42 t=57107
cin4 zi3 	前置	c=1 d=6.74828e-21 t=57107
cing1 	清	c=4 d=5.73157e-41 t=57107
cing1 	青	c=15 d=2.12537e-18 t=57107
cing1 ceoi4 	清除	c=1 d=0.0558548 t=57107
cing1 co2 	清楚	c=8 d=0.107528 t=57107
cing1 daan1 	清單	c=7 d=0.000396193 t=57107
cing1 doi6 	清代	c=1 d=7.07647e-109 t=57107
cing1 hoi2 wu4 	青海湖	c=1 d=3.6931e-76 t=57107
cing1 jyun5 	清遠	c=1 d=3.67394e-103 t=57107
cing1 lei5 	清理	c=5 d=4.08062e-41 t=57107
cing1 ming4 	清明	c=13 d=4.96101e-11 t=57107
cing1 siu3 nin4 	青少年	c=1 d=2.22563e-118 t=57107
cing1 syun3 	清算	c=1 d=8.23876e-104 t=57107
cing1 waa4 	清華	c=5 d=3.23518e-48 t=57107
cing1 wai4 	稱爲	c=1 d=0.000189713 t=57107
cing2 	請	c=55 d=0.0047589 t=57107
cing2 gaa3 	請假	c=2 d=2.12856e-64 t=57107
cing2 kau4 	請求	c=29 d=0.179219 t=57107
cing2 man6 	請問	c=6 d=0.0605068 t=57107
cing2 zei1 o4 	請J哦	c=1 d=2.35483e-76 t=57107
cing3 loeng4 	秤量	c=1 d=8.46027e-122 t=57107
cing4 	情	c=1 d=7.47936e-84 t=57107
cing4 	晴	c=1 d=1.53601e-108 t=57107
cing4 	程	c=3 d=1.45938e-94 t=57107
cing4 dou6 	程度	c=1 d=1.62706e-109 t=57107
cing4 fat6 	懲罰	c=1 d=2.13836e-118 t=57107
cing4 fong3 	情況	c=29 d=0.778816 t=57107
cing4 seoi5 	情緒	c=1 d=9.13124e-20 t=57107
cing4 sik1 	程式	c=2 d=1.78107e-26 t=57107
cing4 zeoi6 	程序	c=232 d=0.000506911 t=57107
cing4 zeoi6 jyun4 	程序員	c=2 d=3.21959e-50 t=57107
cit3 	切	c=28 d=2.24547e-46 t=57107
cit3 bei6 	設備	c=28 d=6.86916e-24 t=57107
cit3 bei6 maa5 	設備碼	c=1 d=2.39237e-115 t=57107
cit3 ding6 	設定	c=3 d=9.27082e-22 t=57107
cit3 gai3 	設計	c=45 d=0.00138764 t=57107
cit3 gei3 	切記	c=1 d=4.48507e-97 t=57107
cit3 pin2 	切片	c=17 d=1.25638e-38 t=57107
cit3 siu1 	撤消	c=1 d=2.43414e-54 t=57107
cit3 tou4 	切圖	c=17 d=1.42197e-24 t=57107
cit3 wun6 	切換	c=3 d=4.5769e-12 t=57107
cit3 zi3 	設置	c=65 d=0.817892 t=57107
ciu1 	超	c=13 d=2.68098e-28 t=57107
ciu1 ceot1 	超出	c=1 d=8.11912e-79 t=57107
ciu1 gwo3 	超過	c=8 d=1.08851e-22 t=57107
